current_state,pending_signal,pending_signal_date,entry_signal_date,entry_date,current_holding_days,current_return,last_open_signal_date,last_close_signal_date,代码,指数名称,latest_date,latest_price,latest_factor_value,latest_open_signal,latest_close_signal,open_event_count,close_event_count,rule_id,factor,category,strategy_label,open_condition,close_condition,base_open_condition,base_close_condition,notes
多,,,2026-06-12,2026-06-15,42.0,-0.06377524783148913,2026-06-12,2026-05-11,000985.CSI,中证全指,2026-08-13,5973.2654,1.7793689158176178,False,False,59,109,chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,开仓_低位均值回复_20日,闭仓_加速度转负_10日,低位修复买点，先用自身年线过滤，再等待短期价格确认，避免频繁开仓。
多,,,2026-04-08,2026-04-09,86.0,-0.007771958153856673,2026-04-08,2026-01-29,000985.CSI,中证全指,2026-08-13,5973.2654,0.6141459125726914,False,False,42,38,chip_profit_center,筹码盈利中枢_年线,赔率/筹码,筹码盈利中枢_年线候选_季线等待修复_月线短确认,开仓_累计上升_5日_0.5sigma；季线弱化时等待40日修复并要求月线一日回升,闭仓_上方拐点_1sigma(持仓满10日后生效) OR 4%/5日止损,开仓_累计上升_5日_0.5sigma,闭仓_上方拐点_1sigma,年线开仓为主；若季线仍下行，等待季线修复和月线回升。
多,,,2026-08-05,2026-08-06,5.0,0.013043410127419719,2026-08-05,2026-06-30,000985.CSI,中证全指,2026-08-13,5973.2654,-0.3623064843584306,False,False,58,34,chip_deviation,筹码乖离率_季线,赔率/筹码,筹码乖离率_季线累计修复且价格同日上涨,开仓_累计上升_5日_0.5sigma + 信号日收涨,闭仓_下穿_1.5sigma,开仓_累计上升_5日_0.5sigma,闭仓_下穿_1.5sigma,筹码乖离季线修复，同时要求价格同日确认。
多,,,2026-07-13,2026-07-14,22.0,-0.023847747017156418,2026-07-13,2026-05-21,000985.CSI,中证全指,2026-08-13,5973.2654,0.9400016613103352,False,False,67,86,forward_valuation,远期估值,赔率/估值,远期估值_价格底背离60日,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振,非常左侧的估值底背离：价格创新低但估值因子不确认。
多,,,2026-07-13,2026-07-14,22.0,-0.023847747017156418,2026-07-13,2026-05-21,000985.CSI,中证全指,2026-08-13,5973.2654,0.7771514768433712,False,False,68,84,historical_valuation,历史估值,赔率/估值,历史估值_价格底背离60日_闭仓持仓满3日,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振(持仓满3日后生效),开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振,历史估值底背离；闭仓信号持仓满3日后才生效。
多,,,2026-04-14,2026-04-15,82.0,-0.029362171571178708,2026-04-14,2026-02-04,000985.CSI,中证全指,2026-08-13,5973.2654,-0.7520615415882214,False,False,80,23,price_diffusion,年价格扩散系数_季线,胜率/量,价格扩散系数_最优规则,开仓_价格下跌因子上升_20日,闭仓_高位钝化转弱_5日_1sigma,开仓_价格下跌因子上升_20日,闭仓_高位钝化转弱_5日_1sigma,价格仍弱但长期扩散开始修复，属于底部修复/背离开仓。
多,,,2026-06-15,2026-06-16,41.0,-0.0697645148014322,2026-06-15,2026-03-04,000985.CSI,中证全指,2026-08-13,5973.2654,-0.5910226365022014,False,False,28,25,pb_skew,pb偏度_季线,赔率/估值,pb偏度_上穿负0.5后10日内上穿MA10,开仓_上穿_-0.5sigma后10日内价格上穿MA10,闭仓_20日振幅放大向下_1sigma,开仓_上穿_-0.5sigma,闭仓_20日振幅放大向下_1sigma,估值偏度修复后，等待价格站上MA10做右侧确认。
多,,,2026-07-21,2026-07-22,16.0,0.03151626568260735,2026-07-21,2026-07-08,000985.CSI,中证全指,2026-08-13,5973.2654,-1.487526992044368,False,False,169,159,sentiment_entropy,情绪熵,胜率/量,情绪熵_扩散起点收涨确认_扩散终点退出,开仓_加速度转正_10日后5日内收涨确认,闭仓_加速度转负_5日,开仓_加速度转正_10日,闭仓_加速度转负_5日,买扩散起点，卖扩散终点；开仓需要价格收涨承接。
空,,,,,,,2026-07-23,2026-07-27,000985.CSI,中证全指,2026-08-13,5973.2654,-0.9583365832816833,False,False,133,48,turnover_diffusion,季换手扩散系数_季线,胜率/量,换手扩散系数_季线加速度转正后3日收涨确认,开仓_加速度转正_5日后3日内收涨确认,闭仓_10日振幅放大向下_1sigma,开仓_加速度转正_5日,闭仓_10日振幅放大向下_1sigma,中期换手参与面扩散后，等待短期价格确认。
空,,,,,,,2026-06-29,2026-08-11,000985.CSI,中证全指,2026-08-13,5973.2654,0.046647744008689,False,False,83,85,volume_factor,放量因子,胜率/量,放量因子_上穿1sigma且放量下跌等待修复,开仓_上穿_1sigma；若信号日跌幅<=-1%则3日内等收复信号日收盘价,闭仓_加速度转负_3日,开仓_上穿_1sigma,闭仓_加速度转负_3日,躲避放量下跌；若信号日大跌，等待价格收复信号日收盘价。
